"id","state","name"
"US10cher034","Nebraska","NE VALENTINE"
"US10chey002","Nebraska","NE GURLEY"
"US10chey003","Nebraska","NE DALTON"
"US10chey004","Nebraska","NE SIDNEY"
"US10chey005","Nebraska","NE SIDNEY"
"US10chey007","Nebraska","NE SIDNEY"
"US10chey008","Nebraska","NE SIDNEY"
"US10chey009","Nebraska","NE SIDNEY"
"US10chey010","Nebraska","NE DALTON"
"US10chey012","Nebraska","NE LODGEPOLE"
"US10chey013","Nebraska","NE SIDNEY"
"US10chey014","Nebraska","NE DALTON"
"US10chey015","Nebraska","NE GURLEY"
"US10chey016","Nebraska","NE DALTON"
"US10chey017","Nebraska","NE POTTER"
"US10chey018","Nebraska","NE DALTON"
"US10chey019","Nebraska","NE GURLEY"
"US10chey021","Nebraska","NE SIDNEY"
"US10chey024","Nebraska","NE DALTON"
"US10chey025","Nebraska","NE SIDNEY"
"US10chey026","Nebraska","NE POTTER"
"US10chey027","Nebraska","NE POTTER"
"US10chey028","Nebraska","NE SIDNEY"
"US10chey029","Nebraska","NE POTTER"
"US10chey030","Nebraska","NE POTTER"
"US10chey031","Nebraska","NE LODGEPOLE"
"US10chey032","Nebraska","NE LODGEPOLE"
"US10chey033","Nebraska","NE SIDNEY"
"US10chey034","Nebraska","NE SIDNEY"
"US10chey035","Nebraska","NE SIDNEY"
"US10chey036","Nebraska","NE SIDNEY"
"US10chey037","Nebraska","NE SIDNEY"
"US10chey038","Nebraska","NE LODGEPOLE"
"US10chey040","Nebraska","NE POTTER"
"US10chey041","Nebraska","NE SIDNEY"
"US10chey045","Nebraska","NE GURLEY"
"US10chey046","Nebraska","NE POTTER"
"US10chey047","Nebraska","NE SIDNEY"
"US10chey049","Nebraska","NE SIDNEY"
"US10chey053","Nebraska","NE LODGEPOLE"
"US10chey056","Nebraska","NE DALTON"
"US10chey060","Nebraska","NE SIDNEY"
"US10chey064","Nebraska","NE POTTER"
"US10chey065","Nebraska","NE SIDNEY"
"US10clay002","Nebraska","NE EDGAR"
"US10clay004","Nebraska","NE CLAY CENTER"
"US10clay005","Nebraska","NE EDGAR"
"US10clay007","Nebraska","NE GLENVIL"
"US10clay008","Nebraska","NE CLAY CENTER"
"US10clay009","Nebraska","NE HASTINGS"
"US10clay012","Nebraska","NE HARVARD"
"US10clay013","Nebraska","NE FAIRFIELD"
"US10clay015","Nebraska","NE SUTTON"
"US10clay017","Nebraska","NE EDGAR"
"US10clay018","Nebraska","NE CLAY CENTER"
"US10clay019","Nebraska","NE CLAY CENTER"
"US10clay020","Nebraska","NE CLAY CENTER"
"US10clay021","Nebraska","NE CLAY CENTER"
"US10clay023","Nebraska","NE CLAY CENTER"
"US10clay024","Nebraska","NE HARVARD"
"US10clay025","Nebraska","NE FAIRFIELD"
"US10clay027","Nebraska","NE GLENVIL"
"US10clay029","Nebraska","NE FAIRFIELD"
"US10clay037","Nebraska","NE SUTTON"
"US10clay039","Nebraska","NE HARVARD"
"US10clay041","Nebraska","NE CLAY CENTER"
"US10clay044","Nebraska","NE ONG"
"US10colf001","Nebraska","NE CLARKSON"
"US10colf002","Nebraska","NE ROGERS"
"US10colf003","Nebraska","NE CLARKSON"
"US10colf005","Nebraska","NE COLUMBUS"
"US10cumi002","Nebraska","NE WEST POINT"
"US10cumi003","Nebraska","NE WEST POINT"
